complaint,category
Extremely disappointed. Ambulance arrived thirty minutes late for an emergency call. I demand immediate resolution.,Healthcare & Pharmacy
Lab test results took three weeks when I was told two days.,Healthcare & Pharmacy
I cannot believe this happened. Annual fee was deducted even though I opted for a fee-waiver account.,Banking & Finance
Long-time loyal customer here. Packaging was torn open and it was obvious someone had tampered with the food. Awaiting your prompt response.,Food Delivery & Restaurant
Third time complaining about this. Wire transfer was delayed for five business days with no explanation from the bank. I will escalate this to a higher authority.,Banking & Finance
Customer care is not responding to my complaint about the spoiled food. This is absolutely unacceptable.,Food Delivery & Restaurant
Very frustrated customer here. Seller sent a counterfeit product and the platform is taking no action. Awaiting your prompt response.,E-commerce & Shopping
Filing a formal complaint. Wrong items were delivered and the restaurant refused to send replacements. My entire family is affected by this issue.,Food Delivery & Restaurant
Long-time loyal customer here. Health app is showing incorrect readings and support is unresponsive.,Healthcare & Pharmacy
Filing a formal complaint. Warranty claim rejected even though the product failed within warranty period. Awaiting your prompt response.,E-commerce & Shopping
Filing a formal complaint. Wire transfer was delayed for five business days with no explanation from the bank. This is absolutely unacceptable.,Banking & Finance
Worst experience ever. Received a bill three times higher than my usual monthly charges. I demand immediate resolution.,Telecom & Internet
Long-time loyal customer here. My regular restaurant suddenly disappeared from the app without any notice. I am considering switching to a competitor.,Food Delivery & Restaurant
Wire transfer was delayed for five business days with no explanation from the bank. Awaiting your prompt response.,Banking & Finance
Long-time loyal customer here. I ordered a laptop but received a completely different product in the package. I will escalate this to a higher authority.,E-commerce & Shopping
Extremely disappointed. Charged shipping fee even though my order qualified for free delivery. I am considering switching to a competitor.,E-commerce & Shopping
Long-time loyal customer here. Charged international roaming rates even though I was in the home country. Please resolve this as a matter of urgency.,Telecom & Internet
Filing a formal complaint. Package arrived completely damaged and the contents were broken. This is absolutely unacceptable.,E-commerce & Shopping
I cannot believe this happened. Refund for missing items was denied even though I sent photographic evidence. This is absolutely unacceptable.,Food Delivery & Restaurant
Long-time loyal customer here. Order was cancelled after thirty minutes of waiting without explanation. Please resolve this as a matter of urgency.,Food Delivery & Restaurant
Very frustrated customer here. Appointment was scheduled but the doctor did not show up at the clinic. My entire family is affected by this issue.,Healthcare & Pharmacy
Very frustrated customer here. Packaging was torn open and it was obvious someone had tampered with the food. I will escalate this to a higher authority.,Food Delivery & Restaurant
Filing a formal complaint. Customer care is not responding to my complaint about the spoiled food. I will escalate this to a higher authority.,Food Delivery & Restaurant
Worst experience ever. Prescription delivery from online pharmacy arrived three weeks late. Please resolve this as a matter of urgency.,Healthcare & Pharmacy
"Third time complaining about this. Product quality was terrible, nothing like the photos shown online. I demand immediate resolution.",E-commerce & Shopping
Very frustrated customer here. ATM swallowed my card and the helpline kept me on hold for over two hours. This is absolutely unacceptable.,Banking & Finance
"Long-time loyal customer here. SMS verification codes are not delivered, blocking me from using banking apps. I will escalate this to a higher authority.",Telecom & Internet
Long-time loyal customer here. My regular restaurant suddenly disappeared from the app without any notice. I demand immediate resolution.,Food Delivery & Restaurant
Third time complaining about this. Clinic lost my medical test reports and asked me to repeat all tests. I am considering switching to a competitor.,Healthcare & Pharmacy
Filing a formal complaint. Food quality has declined drastically and portions have become much smaller. I demand immediate resolution.,Food Delivery & Restaurant
Third time complaining about this. My phone number was ported to another carrier without my authorization.,Telecom & Internet
My fixed deposit matured but the amount has not been credited to my account.,Banking & Finance
Received items from a completely different order meant for someone else. I will escalate this to a higher authority.,Food Delivery & Restaurant
Filing a formal complaint. Package arrived completely damaged and the contents were broken. Please resolve this as a matter of urgency.,E-commerce & Shopping
Filing a formal complaint. Unauthorized transactions appeared on my statement and the bank refuses to investigate. I demand immediate resolution.,Banking & Finance
Third time complaining about this. Interest rates were changed without informing me. This is completely unacceptable. I will escalate this to a higher authority.,Banking & Finance
I cannot believe this happened. Hospital bill contains charges for procedures that were never performed on me. I am considering switching to a competitor.,Healthcare & Pharmacy
I cannot believe this happened. Charged shipping fee even though my order qualified for free delivery. This is absolutely unacceptable.,E-commerce & Shopping
